가능/NNG
구포/NNP
구학/NNP
국수/NNP
국제/NNG
업무/NNG
국회/NNG
의사당/NNG
군북/NNP
군산/NNP
군자/NNP
군포/NNP
굴봉/NNG
산/NNG
굴포/NNP
굽/VV
은/ETM
다리/NNG
귤현/NNP
극락강/NNP
금강/NNP
금곡/NNP
금교/NNP
금남로/NNP
가/XSN
금련/NNG
금릉/NNP
금사/NNP
금정/NNP
금지/NNP
금천/NNG
구청/NNG
금촌/NNP
금호/NNP
기장/NNP
기흥/NNP
길음/NNP
김대중/NNP
센터/NNG
김량장/NNP
김유정/NNP
김제/NNP
김천/NNP
김포/NNP
김해/NNP
까치/NNG
까치울/NNP
나원/NNP
나전/NNP
나주/NNP
낙동/NNG
강/NNG
낙민/NNP
낙성/NNG
남광주/NNP
남구로/NNP
남동/NNP
남문구/NNP
남부/NNG
남산/NNP
남산정/NNP
남성/NNP
남성현/NNP
남양/NNP
남원/NNP
남창/NNP
남창원/NNP
남천/NNP
남/NNG
철/NNG
송장/NNG
남춘천/NNP
남태령/NNP
남평/NNP
남포/NNP
남한/NNG
산성/NNG
내당/NNP
내수/NNP
내판/NNP
냉정/NNP
노들/NNP
노량진/NNP
노령/NNP
노안/NNP
노원/NNP
노은/NNP
노포/NNP
녹동/NNP
녹번/NNP
녹사평/NNP
녹양/NNP
녹천/NNP
논산/NNP
논현/NNP
농성/NNP
능곡/NNP
능주/NNP
다산/NNP
다솔/NNP
다시/NNP
단대/NNP
단성/NNP
단양/NNP
단촌/NNP
달성/NNG
달천/NNP
담티/NNP
답십리/NNP
당리/NNP
당산/NNP
당정/NNP
대곡/NNP
대광/NNP
대구/NNP
대동/NNP
대림/NNP
대명/NNP
대모/NNG
대방/NNP
대봉교/NNP
대불/NNP
대사/NNP
대성/NNP
대신/NNP
대야미/NNP
대야/NNP
대연/NNP
대저/NNG
대전/NNP
장/NNG
대천/NNP
대청/NNP
대치/NNP
대티/NNP
대화/NNP
대흥/NNP
덕계/NNP
덕두/NNP
덕산/NNP
덕소/NNP
덕양/NNP
덕정/NNP
덕천/NNP
덕포/NNP
덕하/NNP
도경/NNP
도계/NNP
도고/NNP
도곡/NNP
도농/NNP
도담/NNP
도라/NNG
도림/NNP
도봉/NNG
도봉/NNP
도산/NNP
도심/NNP
도안/NNP
도원/NNP
도화/NNP
독립/NNG
독/NNG
바위/NNG
독산/NNP
돌/NNG
고개/NNG
곶이/NNG
동/NNG
대구/NNG
동대문/NNP
대문/NNG
역사/NNG
문화/NNG
동대신/NNP
동대/NNP
동두/NNP
중앙/NNG
동래/NNP
동량/NNP
동막/NNP
동묘/NNG
앞/NNG
동방/NNP
동백/NNG
동백/NNP
동부산/NNP
동산/NNP
동송정/NNP
동수/NNP
동암/NNP
동오/NNP
동운/NNP
동원/NNP
동의/NNP
동인천/NNP
동작/NNP
동점/NNP
동천/NNP
동촌/NNP
동춘/NNP
동해/NNP
동화/NNP
두류/NNP
두실/NNG
두정/NNP
둔전/NNP
둔촌/NNP
득량/NNP
등촌/NNP
미디어/NNG
시티/NNG
뚝섬/NNP
지/NNG
마곡/NNG
마곡/NNP
마두/NNP
마들/NNP
마사/NNP
마산/NNP
마석/NNP
마장/NNP
마차/NNP
마천/NNP
마포/NNP
만덕/NNP
만성/NNP
만종/NNP
만촌/NNP
만평/NNG
망미/NNP
망상/NNP
망우/NNP
망원/NNP
망월/NNP
망포/NNP
매곡/NNP
매교/NNP
매봉/NNP
매천/NNP
매탄/NNP
매포/NNP
먹골/NNP
면목/NNP
명덕/NNP
명동/NNP
명륜/NNP
명봉/NNP
명일/NNP
명장/NNP
명지/NNG
명학/NNP
모덕/NNP
모라/NNP
모란/NNG
모량/NNP
모화/NNP
목동/NNP
목포/NNP
목행/NNP
못골/NNP
몽촌/NNP
몽탄/NNP
무릉/NNP
무악/NNG
재/NNG
무안/NNP
묵호/NNP
문경/NNP
문곡/NNP
문단/NNP
문래/NNP
문산/NNP
문수/NNP
문전/NNG
문정/NNP
문학/NNG
문현/NNP
전당/NNG
물금/NNP
물만골/NNP
미금/NNP
미남/NNP
미로/NNP
미아/NNG
미아/NNP
미전/NNP
미평/NNP
민둥/NNG
민락/NNP
밀양/NNP
박물/NNG
관/NNG
박촌/NNP
반고개/NNP
반곡/NNP
반석/NNP
반성/NNP
반야월/NNP
반월당/NNP
반월/NNP
반포/NNP
발곡/NNP
발산/NNP
방배/NNP
방이/NNP
방촌/NNP
방학/NNP
방화/NNP
배방/NNP
배산/NNP
백마/NNG
백산/NNP
백석/NNP
백양/NNP
백양/NNG
백운/NNP
버티/NNP
벌교/NNP
범계/NNP
범골/NNG
범내골/NNP
범물/NNP
범어사/NNP
범어/NNP
범일/NNP
법전/NNP
벽제/NNP
별어곡/NNP
병점/NNP
보라/NNG
매/NNG
보문/NNP
보산/NNP
보성/NNP
보정/NNP
보천/NNP
보평/NNP
복정/NNP
봉덕/NNP
봉림/NNP
봉명/NNP
봉성/NNP
봉양/NNP
봉정/NNP
봉천/NNP
봉화/NNG
봉화/NNP
봉황/NNP
부강/NNP
부개/NNP
부산/NNG
부산/NNP
부산진/NNP
부암/NNP
부용/NNP
부원/NNP
부전/NNP
부조/NNG
부천/NNP
부평/NNP
부황/NNP
북/NNG
북송정/NNP
북영주/NNP
북영천/NNP
북전주/NNP
북천/NNP
분천/NNP
불광/NNP
불국사/NNP
불암/NNP
비봉/NNP
사가정/NNP
사곡/NNP
사당/NNP
사릉/NNG
사방/NNP
사북/NNP
사상/NNP
사월/NNP
사직/NNP
사평/NNP
사하/NNP
산본/NNP
산성/NNP
삼가/NNP
삼각/NNG
삼곡/NNP
삼랑/NNP
삼례/NNP
삼릉/NNG
삼산/NNP
삼산/NNG
체육/NNG
삼성/NNP
삼송/NNP
삼척/NNP
삼탄/NNG
삼화/NNP
삽교/NNP
상갈/NNP
상계/NNP
상도/NNP
상동/NNP
상록/NNG
수/NNG
상무/NNP
상봉/NNP
상수/NNP
상왕십리/NNP
상월곡/NNP
상인/NNP
상일/NNP
상정/NNP
상주/NNP
상천/NNP
새말/NNP
새/MM
샛강/NNG
서강/NNP
서경주/NNP
서광주/NNP
서대문/NNP
서대신/NNP
서대전/NNP
서도/NNP
서동/NNP
서동탄/NNP
서면/NNP
서문/NNG
서부산/XPN
지구/NNG
서/NNG
빙고/NNG
서생/NNP
서울/NNG
서울/NNP
서원주/NNP
서정/NNP
서지/NNP
서창/NNP
서천/NNP
서초/NNP
서현/NNP
석계/NNP
석대/NNP
석불/NNG
석수/NNP
석촌/NNP
석포/NNP
석항/NNP
선릉/NNG
선/NNG
선암/NNP
선유/NNG
도/NNG
선평/NNP
선학/NNP
성균관/NNP
성당/NNG
못/NNG
성산/NNP
성서/NNP
성수/NNP
성신/NNG
여대/NNG
성주/NNG
성환/NNP
세류/NNP
세마/NNG
세천/NNP
센텀/NNP
센트럴/NNP
소래/NNP
소사/NNP
소요/NNG
소이/NNP
소정/NNP
소태/NNP
솔안/NNP
송내/NNP
송도/NNP
송산/NNP
송정/NNP
송천/NNP
송추/NNG
송탄/NNP
송파/NNP
송포/NNP
송학/NNP
송현/NNP
수내/NNP
수락/NNP
수로/NNG
릉/NNG
수리/NNP
수색/NNP
수서/NNP
수성/NNP
운동/NNG
수안/NNP
수영/NNP
수원/NNP
수유/NNP
수정/NNP
수진/NNP
숙대/NNP
숙등/NNP
순천/NNP
숭실/NNP
승문/NNP
승부/NNP
시립/NNG
시청/NNG
용인/NNP
신갈/NNP
신거/NNG
신경주/NNP
신/NNG
신금호/NNP
신기/NNP
신길/NNP
신남/NNP
신내/NNP
신녕/NNP
신논현/NNP
신답/NNP
신당/NNP
신대방/NNP
신도림/NNP
신동/NNP
신례원/NNP
신리/NNP
신림/NNP
신망리/NNP
신매/NNP
신목동/NNP
신반포/NNP
신방화/NNP
신사/NNP
신선대/NNP
신설/NNP
신성/NNP
신암/NNP
신연수/NNP
신용산/NNP
신원/NNP
신이문/NNP
신정/NNP
거리/NNP
신중동/NNP
신창/NNP
신창원/NNP
신천/NNP
신촌/NNP
신탄/NNP
신탄진/NNP
신태인/NNP
신평/NNP
신풍/NNP
신흥/NNP
심천/NNP
쌍룡/NNP
쌍문/NNP
쌍용/NNP
쌍촌/NNP
아산/NNP
아신/NNP
아양/NNP
아우라지/NNG
아중/NNG
아차/NNG
아포/NNP
아현/NNP
아화/NNP
안강/NNP
안국/NNP
안동/NNP
안락/NNP
안산/NNP
안심/NNP
안암/NNP
안양/NNP
안인/NNP
안정/NNP
안지/NNP
안평/NNP
암사/NNP
압구정/NNP
압록/NNP
애오개/NNP
야탑/NNP
약목/NNP
약수/NNP
양동/NNP
양보/NNP
양산/NNP
양수/NNP
양원/NNP
양자동/NNP
양재/NNP
의/JKG
숲/NNG
양정/NNP
양주/NNP
양천/NNP
양평/NNP
양학/NNP
어등/NNP
어룡/NNP
어린이/NNG
회관/NNG
어정/NNG
업동/NNP
여수/NNP
여의나루/NNP
여의도/NNP
여천/NNP
역곡/NNP
역삼/NNP
역촌/NNP
연교/NNP
연당/NNP
연무/NNG
연산/NNP
연수/NNP
연신내/NNP
연지/NNG
연천/NNP
연하/NNP
연호/NNP
연화/NNP
염창/NNP
영남/NNP
영대/NNP
영동/NNP
영등포/NNP
영산/NNP
영월/NNP
영주/NNP
영천/NNP
영통/NNP
예당/NNP
예미/NNP
예술/NNG
예천/NNP
오가/NNP
오근장/NNP
오금/NNP
오룡/NNP
오류/NNP
오리/NNP
오목교/NNP
오봉/NNP
오/NR
산대/NNP
오산/NNP
오송/NNP
오수/NNP
오이도/NNP
옥계/NNP
옥곡/NNP
옥구/NNP
옥산/NNP
옥수/NNP
옥천/NNP
온릉/NNG
온산/NNP
온수/NNP
온양/NNP
온천/NNG
올림픽/NNP
옹정/NNP
옹천/NNP
와룡/NNP
완사/NNG
왕십리/NNP
왜관/NNP
외대/NNG
용계/NNP
용궁/NNP
용답/NNP
용동/NNP
용두/NNP
용마/NNP
용문/NNP
용산/NNP
용지/NNP
우보/NNP
우암/NNP
우일/NNP
우장/NNP
운길/NNG
송담/NNP
운산/NNP
운서/NNP
운정/NNP
운천/NNP
울산/NNP
웅천/NNP
원당/NNP
원대/NNP
원덕/NNP
원동/NNP
원릉/NNG
원인재/NNP
원주/NNP
원죽/NNG
원창/NNP
월계/NNP
월곡/NNP
월곶/NNP
월내/NNP
월드/NNG
컵/NNG
월롱/NNP
월배/NNP
월촌/NNP
월평/NNP
유교/NNP
유성/NNP
유수/NNP
율동/NNP
율리/NNP
율촌/NNP
율하/NNP
을지로/NNP
음성/NNP
응봉/NNP
응암/NNP
의성/NNP
의왕/NNP
이곡/NNP
이대/NNG
이매/NNP
이수/NNG
이양/NNP
이원/NNP
이촌/NNP
이태원/NNP
이하/NNP
익산/NNP
인덕원/NNP
인제/NNP
인천/NNP
일광/NNP
일/NNP
일산/NNP
일신/NNP
일영/NNP
일원/NNP
임곡/NNP
임기/NNP
임당/NNP
임성/NNP
임실/NNP
임진/NNG
임포/NNP
임피/NNP
임학/NNP
입석/NNP
입실/NNP
자갈치/NNP
자미/NNG
원/NNG
작전/NNP
잠실/NNP
잠원/NNP
장락/NNP
장산/NNP
장생/NNG
포/NNG
장성/NNP
장성/NNG
장승/NNG
배기/XSN
장신/NNP
장암/NNP
장유/NNP
장전/NNP
장지/NNP
장한평/NNP
장항/NNP
장흥/NNP
재송/NNP
적량/NNP
전곡/NNP
전대/NNG
에버랜드/NNP
전동/NNP
전의/NNP
전주/NNP
전포/NNP
점촌/NNP
정동진/NNP
정발/NNG
정부/NNG
정선/NNP
정왕/NNP
정읍/NNP
정자/NNP
정평/NNP
제기/NNP
제물포/NNP
제천/NNP
조동/NNP
조성/NNP
조치/NNG
종각/NNG
종로/NNP
종합/NNG
좌천/NNP
주례/NNP
주산/NNP
주생/NNP
주안/NNP
주엽/NNP
주평/NNP
주포/NNP
죽동/NNP
죽령/NNP
죽림/NNG
죽전/NNP
중계/NNP
중곡/NNP
중/NNG
중동/NNP
중랑/NNP
중리/NNP
로/NNG
중앙/NNP
중화/NNP
증미/NNG
증산/NNP
증평/NNP
지게/NNG
골/NNG
지내/NNP
지산/NNP
지석/NNP
지식/NNG
정보/NNG
지제/NNP
지족/NNP
지천/NNP
지축/NNP
지탄/NNP
지평/NNP
지행/NNP
직산/NNP
직지사/NNP
진남/NNG
진상/NNP
진영/NNP
진위/NNP
진주/NNP
진천/NNP
진해/NNP
창교/NNP
창동/NNP
창신/NNP
창원/NNP
채운/NNP
천마/NNG
천안/NNP
천왕/NNP
천호/NNP
철산/NNP
철암/NNP
청계산/NNP
청구/NNP
청담/NNP
청도/NNP
청라/NNG
도시/NNG
청량리/NNP
청령/NNP
청령/NNG
청리/NNP
청명/NNG
청소/NNP
청주/NNP
청천/NNP
청평/NNP
초강/NNP
초남/NNP
초당/NNP
초량/NNP
초성/NNP
초지/NNP
추암/NNP
추전/NNP
추풍/NNG
령/NNG
춘양/NNP
춘의/NNP
춘천/NNP
춘포/NNP
충렬/NNG
충무/NNP
충정/NNG
충주/NNP
치악/NNP
칠곡/NNP
칠성/NNG
캠퍼스/NNG
타운/NNG
탄방/NNP
탄부/NNP
탄현/NNP
탑리/NNP
탑석/NNP
태금/NNG
태릉/NNG
태백/NNP
태전/NNP
태평/NNP
태화/NNG
테/NNP
파크/NNG
토성/NNP
통해/NNP
퇴계원/NNP
파주/NNP
판교/NNP
판암/NNP
팔거/NNP
팔달/NNG
팔달/NNP
팔당/NNP
평강/NNP
평내/NNP
평동/NNP
평은/NNP
평촌/NNP
평택/NNP
평화/NNP
포항/NNP
풍기/NNP
풍산/NNP
하계/NNP
하고사/NNP
하남/NNP
하단/NNP
하동/NNP
하양/NNP
학동/NNG
증심사/NNP
학동/NNP
학여울/NNP
학정/NNP
한강/NNG
진/NNG
한남/NNP
한대/NNP
한림/NNG
정/NNG
한성/NNP
한양/NNP
한탄/NNP
한티/NNP
함백/NNP
함안/NNP
함열/NNP
함창/NNP
함평/NNP
합정/NNP
해안/NNP
해운/NNG
행당/NNP
행신/NNP
현동/NNP
현충/NNG
로/JKB
현충원/NNP
혜화/NNP
호계/NNP
호구/NNG
호포/NNP
홍대/NNP
홍성/NNP
홍제/NNP
화곡/NNP
화랑/NNG
화명/NNP
화본/NNP
화산/NNP
화서/NNP
화순/NNP
화양/NNP
화전/NNP
화정/NNP
황간/NNP
황금/NNP
황길/NNP
황등/NNP
회기/NNP
회덕/NNP
회룡/NNP
회현/NNP
횡천/NNP
효문/NNP
효자/NNP
효창/NNP
효천/NNG
흑석/NNP
흥국/NNG
흥선/NNP
희방/NNG
