경/NR
스물두서넛/NR
스물두셋/NR
스물두어/NR
스물둘/NR
스물세/NR
스물셋/NR
스물아홉/NR
스물여덟/NR
스물여섯/NR
스물예닐곱/NR
스물일곱/NR
스물하나/NR
스물한/NR
스물한째/NR
시/NR
시물/NR
시오/NR
식스/NR
십/NR
십구/NR
십만/NR
십백/NR
십백천/NR
십사/NR
십사오/NR
십삼/NR
십수/NR
십억/NR
십오/NR
십오륙/NR
십오만/NR
십육/NR
십이/NR
십일/NR
십칠/NR
십팔/NR
쓰리/NR
아이/NR
아홉/NR
아홉째/NR
아흔/NR
아흔다섯/NR
아흔셋/NR
아흔아홉/NR
아흔째/NR
억/NR
억만/NR
억조/NR
억천만/NR
여기/NR
여남은/NR
여남은째/NR
여덜/NR
여덞/NR
여덟/NR
여덟아홉째/NR
여덟째/NR
여든/NR
여든다섯/NR
여든여덟/NR
여든째/NR
여러분/NR
여럿/NR
여만/NR
여서/NR
여섯/NR
여섯째/NR
열/NR
열낟날/NR
열네/NR
열넷/NR
열다섯/NR
열닷/NR
열대여섯/NR
열댓/NR
열두/NR
열두어/NR
열두째/NR
열둘/NR
열둬/NR
열서너/NR
열세/NR
열셋/NR
열아홉/NR
열여덟/NR
열여섯/NR
열일곱/NR
열입곱/NR
열째/NR
열하나/NR
열한/NR
열한째/NR
영/NR
예닐곱/NR
예닐곱째/NR
예순/NR
예순다섯/NR
예순여섯/NR
예순째/NR
오/NR
오륙/NR
오륙백/NR
오륙십/NR
오만/NR
오만칠천/NR
오백/NR
오백만/NR
오백억/NR
오십/NR
오십만/NR
오십삼/NR
오십오/NR
오십이/NR
오십일/NR
오십팔만/NR
오육십/NR
오일육/NR
오일팔/NR
오천/NR
오천만/NR
완/NR
완투/NR
원/NR
유/NR
육/NR
육만/NR
육백/NR
육십/NR
육십만/NR
육십오/NR
육이구/NR
육천/NR
육칠/NR
이/NR
이경/NR
이만/NR
이만오천/NR
이백/NR
이백구십오/NR
이백마흔여덟/NR
이백만/NR
이백수십/NR
이백억/NR
이백여든/NR
이백오십/NR
이백일흔/NR
이삼/NR
이삼경/NR
이삼만/NR
이삼백/NR
이삼십/NR
이삼십만/NR
이삼억/NR
이삼조/NR
이삼천/NR
이십/NR
이십구/NR
이십만/NR
이십사/NR
이십삼/NR
이십억/NR
이십오/NR
이십오륙/NR
이십오만/NR
이십육/NR
이십이/NR
이십일/NR
이십칠/NR
이십팔/NR
이억/NR
이조/NR
이천/NR
이천만/NR
이천사백/NR
이천사십/NR
이천억/NR
이천오백/NR
이팔/NR
일/NR
일고여덟/NR
일고여덟째/NR
일곱/NR
일곱째/NR
일공일구/NR
일만/NR
일만이천/NR
일백/NR
일백만/NR
일백여덟/NR
일백이십만/NR
일억/NR
일여덟/NR
일이/NR
일이경/NR
일이만/NR
일이백/NR
일이십/NR
일이억/NR
일이조/NR
일이천/NR
일천/NR
일천구백팔/NR
일천만/NR
일천삼백/NR
일천오백/NR
일흔/NR
일흔다섯/NR
일흔둘/NR
일흔셋/NR
일흔째/NR
저속/NR
제로/NR
제일/NR
조/NR
조억/NR
즈믄/NR
천/NR
천만/NR
천백/NR
천사백만/NR
천삼백/NR
천억/NR
천오륙백/NR
천오백/NR
천이백/NR
천칠백/NR
천칠백오십/NR
첫째/NR
추억/NR
칠/NR
칠만/NR
칠백/NR
칠백만/NR
칠순/NR
칠십/NR
칠십만/NR
칠십오만/NR
칠십육/NR
칠천/NR
칠천만/NR
칠천팔백구십팔/NR
칠팔/NR
칠팔백/NR
칠팔십/NR
텐/NR
투/NR
파이브/NR
팔/NR
팔구/NR
팔만/NR
팔만사천/NR
팔만수천/NR
팔백/NR
팔백오/NR
팔십/NR
팔십만/NR
팔십칠/NR
팔천/NR
팔천팔백만/NR
포/NR
포어/NR
하나/NR
하낫/NR
한/NR
한나/NR
한두째/NR
한둘/NR
/undefined
